Long,Lat,Group
-115.8083,40.8884,Great_Basin_East
-114.1502,38.6599,Great_Basin_East
-113.6427,41.449,Great_Basin_East
-113.9629,41.5426,Great_Basin_East
-113.8493,38.6623,Great_Basin_East
-113.6333,39.4333,Great_Basin_East
-113.8031,40.1778,Great_Basin_East
-114.0244,41.2356,Great_Basin_East
-114.8152,37.9054,Mojave
-114.3742,32.8683,Mojave
-113.948,33.8578,Mojave
-112.8621,32.4902,Mojave
-117.6554,36.4166,Mojave
-118.2565,37.2359,Mojave
-114.7849,33.5388,Mojave
-115.7236,34.5377,Mojave
-115.7303,34.9108,Mojave
-114.9625,36.2977,Mojave
-114.4649,36.5433,Mojave
-114.5758,36.6589,Mojave
-113.9483,37.0846,Mojave
-120.0235,41.5646,Great_Basin_West
-116.4998,43.1471,Great_Basin_West
-118.8735,39.7581,Great_Basin_West
-117.3915,40.921,Great_Basin_West
-117.5984,41.3463,Great_Basin_West
-118.9189,41.7668,Great_Basin_West
-117.1595,38.3896,Great_Basin_West
-119.4316,40.6256,Great_Basin_West
-117.7841,42.2149,Great_Basin_West
